Gene	Num
CACNA1I	22
GABRA5	22
DCAF8L1	22
ADNP2	22
SLC9C2	22
PCDHA9	22
ATR	22
SCN8A	22
SLC4A10	22
BAZ2B	22
UNC45B	22
PDILT	22
ATP8B4	22
THOC2	22
GRIA4	22
GBA3	22
GOLGB1	22
TRANK1	22
GABRB1	22
OR2T11	22
RASAL2	22
SORL1	22
PPARGC1A	22
PCDHGA9	22
SEMA5B	22
CACNA1G	22
ZNF292	22
HECW2	22
FCRL1	22
NPAS4	22
NRXN2	22
JMJD1C	22
NCOR2	22
LRRTM1	22
FBN3	22
ITIH2	22
A2ML1	22
UGT2B4	22
SLCO5A1	22
KPRP	22
SLC6A15	22
EPRS1	22
RNF213	22
CWH43	22
DACT1	22
BCAN	22
LRP4	22
FNDC1	22
PCDHA11	22
PTCHD3	22
ZNF318	22
CALCR	22
PAPPA	22
GABRQ	22
MUC3A	22
RTTN	22
ZNF648	22
CCT8L2	22
ZNF99	22
NRK	22
DCSTAMP	22
PRDM14	22
PTPRN	22
CADPS	22
PSKH2	22
PASD1	22
VAV3	22
USP26	22
WDR72	22
CCDC141	21
NOTCH1	21
BNC2	21
FOXP2	21
HTR1E	21
NUP210	21
PCNX2	21
OR8H3	21
OR5D18	21
A2M	21
PCNT	21
MICAL3	21
ZNF98	21
PDZD2	21
OR10AG1	21
PCSK5	21
NUP205	21
ADAMTS14	21
MROH9	21
CNBD1	21
PSG2	21
AGBL1	21
ARHGEF11	21
TDRD6	21
KIR3DL1	21
IGHV1OR21-1	21
ADGRE1	21
RESF1	21
KCND2	21
SALL3	21
PCDHA12	21
OLFM4	21
DSC3	21
OR10X1	21
IFT172	21
UGT2B28	21
MYLK	21
C10orf71	21
NPHS1	21
BCOR	21
IL18RAP	21
UGT2B11	21
MAGEC3	21
CASR	21
NMUR2	21
BTAF1	21
SPEN	21
ANO5	21
C9	21
TNRC6A	21
GOLGA3	21
FGD5	21
OR13G1	21
OLFML2B	21
BICC1	21
CPXM2	21
MARCO	21
BCL11A	21
PSG8	21
POTEH	21
PCDHGB2	21
NTRK2	21
PCDHB13	21
PCDHA8	21
DLG2	21
SDK2	21
COBL	21
ADCY1	21
CENPE	21
LRRC32	21
ABCA5	21
CACNA2D4	21
RIF1	21
DGKK	21
PSG7	21
PHF3	21
GALNT14	20
MGAT5B	20
IGSF9B	20
RXFP1	20
HTR1A	20
REG3G	20
EPPK1	20
TSHR	20
ADAM29	20
CFAP74	20
CHD9	20
RGS22	20
CPZ	20
TAS2R1	20
ABCA8	20
LCOR	20
ROBO4	20
SMAD4	20
ZNF91	20
OR5I1	20
PLB1	20
KANK4	20
TRPM8	20
SPTAN1	20
MARK1	20
SLC32A1	20
DENND2A	20
TRIM51	20
ENPP2	20
HEPHL1	20
PCK1	20
DSC2	20
PRAMEF15	20
FCRL3	20
GRIK4	20
ACSM2A	20
MYO3B	20
TAF3	20
MAP3K19	20
OR6N1	20
PEX5L	20
LRRTM3	20
NSD1	20
TCHHL1	20
ADAM2	20
ATP1A4	20
RASGRF2	20
NOTCH2	20
CDH22	20
MAGEB4	20
KCNJ2	20
OR2A25	20
PCDH9	20
KATNIP	20
MADD	20
GCN1	20
SPATA18	20
CDH19	20
BMPER	20
IGSF22	20
WNK3	20
ACACB	20
ADAMTS17	20
PLCH1	20
AOX1	20
WSCD2	20
DNMT3A	20
SLC26A3	20
CYP11B1	20
ZSCAN4	20
COL27A1	20
SHPRH	20
OR5T1	20
ITGAE	20
C6orf118	20
SCN9A	20
SLC5A7	20
TSPOAP1	20
ROS1	20
CTCFL	20
LRRN2	20
NLRP11	20
AXDND1	20
SNRNP200	20
ROBO3	20
GHR	20
MYOCD	20
MICAL2	20
ITGAL	20
KIF26B	20
CDH20	20
LILRB4	20
ZNF711	20
EPG5	20
ARHGEF12	20
UNC13A	20
OR8K5	20
GRIK3	20
MUC7	20
KIF5A	20
DSEL	20
CSPG4	20
MROH7	20
EVC2	20
MED13L	20
LY75	20
PALD1	20
YLPM1	20
OR4K13	20
MSH4	20
REG1B	20
SLCO6A1	20
CDH17	20
RBBP6	20
PRSS1	20
FMO1	20
CEP350	20
CRISPLD1	20
ADAMTS1	20
SLIT1	20
TRPM3	20
GRIA3	20
ACKR1	20
TRIM42	20
ATG2B	20
EYA4	19
TDRD5	19
SERPINA3	19
CAD	19
STAG2	19
UMOD	19
SLC14A2	19
PDCD11	19
ADAMTS9	19
MDC1	19
GRIA2	19
ANO2	19
AMOT	19
GPR174	19
PRDM16	19
ZGRF1	19
BMS1	19
CDH4	19
CHST1	19
NUP214	19
ARHGAP21	19
PCDHB15	19
OR51G2	19
